actorid,dob,name,first_name,gender
nm0140863,"january 18, 1931",Joan Carroll,Joan,female
nm0061365,"october 29, 1925",Tom Batten,Tom,male
nm0581218,"november 19, 1919",Lynn Merrick,Lynn,female
nm0259090,"february 28, 1928",Louise Erickson,Louise,female
nm0925382,"july 8, 1926",Robert White,Robert,male
nm0430081,"july 8, 1908",Louis Jordan,Louis,male
nm0132702,"march 28, 1927",Marguerite Campbell,Marguerite,female
nm0193011,"august 9, 1904",Mary Currier,Mary,female
nm1067483,"march 31, 1927",Toni Eden,Toni,female
nm0000840,"august 6, 1911",Lucille Ball,Lucille,female
nm0639877,"april 18, 1919",Virginia O'Brien,Virginia,female
nm0481618,"august 13, 1895",Bert Lahr,Bert,male
nm0000742,"october 7, 1917",June Allyson,June,female
nm0419764,"february 12, 1921",Betty Jaynes,Betty,female
nm0186615,"june 22, 1916",John Craven,John,male
nm0491839,"july 16, 1927",Miriam LaVelle,Miriam,female
nm0848034,"june 25, 1912",Ziggie Talent,Ziggie,male
nm0636071,"october 3, 1916",Ted North,Ted,male
nm0249785,"june 3, 1892",Alan Edwards,Alan,male
nm0490027,"april 9, 1904",Lyle Latell,Lyle,male
nm0568282,"november 2, 1877",Claire McDowell,Claire,female
nm0478688,"july 16, 1886",Isabel La Mal,Isabel,female
nm0188149,"october 25, 1907",Paul Cristo,Paul,male
nm0314328,"december 15, 1915",Gene Garrick,Gene,male
nm0354287,"september 16, 1894",Robert Haines,Robert,male
nm0395067,"november 1, 1911",Victoria Horne,Victoria,female
nm0422436,"july 19, 1907",Isabel Jewell,Isabel,female
nm0060924,"february 22, 1938",Jimmy Bates,Jimmy,male
nm0340063,"december 27, 1879",Robert Greig,Robert,male
nm0602952,"october 13, 1903",Patsy Moran,Patsy,female
nm0182600,"december 10, 1902",Pat Costello,Pat,male
nm0721851,"august 12, 1917",Marjorie Reynolds,Marjorie,female
nm0111702,"september 8, 1914",Hillary Brooke,Hillary,female
nm0911278,"october 28, 1880",Percy Waram,Percy,male
nm0086478,"february 24, 1914",Arthur Blake,Arthur,male
nm0099608,"january 20, 1893",Matthew Boulton,Matthew,male
nm0112684,"july 26, 1883",George Broughton,George,male
nm0141096,"june 15, 1901",Bruce Carruthers,Bruce,male
nm0276196,"june 14, 1894",Benny Fields,Benny,male
nm0483677,"may 22, 1910",Molly Lamont,Molly,female
nm0707251,"january 29, 1917",John Raitt,John,male
nm0678074,"october 25, 1939",Gloria Petroff,Gloria,female
nm0697156,"december 31, 1892",Stanley Price,Stanley,male
nm0026629,"february 23, 1924",Don Anderson,Don,male
nm0118491,"july 22, 1913",Jane Buckingham,Jane,female
nm0142076,"october 4, 1914",Bill Cartledge,Bill,male
nm0052435,"april 9, 1911",Jim Bannon,Jim,male
nm0109456,"august 13, 1922",Nancy Brinckman,Nancy,female
nm0221431,"august 8, 1920",Danny Desmond,Danny,male
nm0336298,"march 11, 1879",Jesse Graves,Jesse,male
nm0571763,"february 9, 1930",Harry McKim,Harry,male
nm0226827,"february 20, 1907",Art Dillard,Art,male
nm0296574,"october 26, 1906",Terry Frost,Terry,male
nm0689447,"october 15, 1886",Alexander Pollard,Alexander,male
nm0354234,"january 20, 1921",Connie Haines,Connie,female
nm0180268,"june 2, 1916",Lillian Cornell,Lillian,female
nm0873015,"september 25, 1920",Anne Triola,Anne,female
nm0230082,"march 28, 1910",Jimmie Dodd,Jimmie,male
nm0028809,"february 16, 1918",Patty Andrews,Patty,female
nm0028782,"january 3, 1916",Maxene Andrews,Maxene,female
nm0028739,"july 6, 1911",Laverne Andrews,Laverne,female
nm0782377,"march 11, 1917",Tom Seidel,Tom,male
nm0397602,"march 11, 1895",Shemp Howard,Shemp,
nm0480156,"august 29, 1897",Frank Lackteen,Frank,male
nm0001647,"november 10, 1889",Claude Rains,Claude,male
nm0912265,"may 27, 1910",Richard Waring,Richard,male
nm0727860,"january 24, 1921",Marjorie Riordan,Marjorie,female
nm0593468,"december 13, 1918",Johnny Mitchell,Johnny,male
nm0926338,"may 24, 1916",Peter Whitney,Peter,male
nm0276849,"march 9, 1889",Antonio Filauri,Antonio,male
nm0232159,"august 20, 1933",Ted Donaldson,Ted,male
nm0050742,"october 12, 1914",Cecil Ballerino,Cecil,male
nm0134701,"april 28, 1909",Early Cantrell,Early,male
nm0177320,"july 5, 1930",Tommy Cook,Tommy,male
nm0002093,"september 29, 1904",Greer Garson,Greer,female
nm0682074,"september 23, 1897",Walter Pidgeon,Walter,male
nm0178066,"december 18, 1888",Gladys Cooper,Gladys,female
nm0871276,"april 10, 1915",Celia Travers,Celia,female
nm0160417,"march 5, 1920",Virginia Christine,Virginia,female
nm0362323,"january 5, 1924",Kay Harding,Kay,female
nm0267912,"july 4, 1876",William Farnum,William,male
nm0801138,"may 12, 1902",Napoleon Simpson,Napoleon,male
nm0052768,"may 3, 1920",Nina Bara,Nina,female
nm0958345,"january 11, 1886",George Zucco,George,male
nm0788288,"june 13, 1890",Harry Shannon,Harry,male
nm0789247,"march 21, 1894",Lester Sharpe,Lester,male
nm0926280,"may 6, 1890",Claire Whitney,Claire,female
nm0642679,"october 8, 1881",Oscar O'Shea,Oscar,male
nm0177386,"december 29, 1875",Caroline Frances Cooke,Caroline,female
nm0189234,"july 18, 1894",Oliver Cross,Oliver,male
nm0221488,"january 23, 1878",William Desmond,William,male
nm0930103,"may 21, 1915",Bill Williams,Bill,male
nm0549274,"december 24, 1906",Frank Marlowe,Frank,male
nm0411826,"november 28, 1895",José Iturbi,José,male
nm0002051,"february 10, 1893",Jimmy Durante,Jimmy,male
nm0012196,"february 10, 1914",Larry Adler,Larry,male
nm0504398,"april 29, 1902",Ben Lessy,Ben,male
nm0050159,"february 7, 1921",Katharine Balfour,Katharine,female
nm0318070,"july 4, 1915",Helen Gilbert,Helen,female
nm0495495,"june 10, 1923",Madeleine Lebeau,Madeleine,female
nm0341100,"april 26, 1878",Ethel Griffies,Ethel,female
nm0413482,"february 19, 1896",Eddie Jackson,Eddie,male
nm1042198,"june 24, 1898",Jack Roth,Jack,male
nm0206376,"may 21, 1916",Dennis Day,Dennis,male
nm0055825,"october 26, 1913",Charlie Barnet,Charlie,male
nm0578587,"september 26, 1902",Nilo Menendez,Nilo,male
nm0178060,"july 31, 1882",Georgie Cooper,Georgie,female
nm0219876,"october 12, 1919",Italia DeNubila,Italia,female
nm0226858,"march 17, 1903",Don Dillaway,Don,male
nm0186600,"august 24, 1875",Frank Craven,Frank,male
nm0102251,"october 9, 1916",Jack Boyle,Jack,male
nm0153045,"december 30, 1910",Hugh Charles,Hugh,male
nm0322105,"august 29, 1879",Gus Glassmire,Gus,male
nm0410361,"january 31, 1887",Charles Irwin,Charles,male
nm0495270,"april 26, 1889",Nolan Leary,Nolan,male
nm0057983,"january 11, 1912",Don 'Red' Barry,Don,male
nm0831889,"may 18, 1903",George E. Stone,George,male
nm0062649,"july 4, 1884",Jack Baxley,Jack,male
nm1180101,"may 24, 1911",Tom Daly,Tom,male
nm0903628,"march 19, 1890",Gayne Whitman,Gayne,male
nm0157910,"may 25, 1920",Chinita,Chinita,female
nm0278717,"june 14, 1920",Trixie Firschke,Trixie,female
nm0386319,"january 5, 1919",Dick Hirbe,Dick,male
nm0595643,"september 12, 1936",Sharyn Moffett,Sharyn,female
nm0547204,"december 23, 1905",Leona Maricle,Leona,female
nm0264578,"september 15, 1885",Olga Fabian,Olga,female
nm0425260,"march 20, 1878",J. Louis Johnson,J.,female
nm0448677,"january 28, 1918",Carl Kent,Carl,male
nm0182538,"september 5, 1901",Don Costello,Don,male
nm0829362,"february 2, 1913",Eleanor Stewart,Eleanor,female
nm0527973,"january 8, 1908",Pierce Lyden,Pierce,male
nm0048275,"november 9, 1910",Bob Baker,Bob,male
nm0271294,"february 18, 1901",Art Felix,Art,male
nm0402731,"march 26, 1907",Bill Hunter,Bill,male
nm0518728,"september 26, 1926",Julie London,Julie,female
nm0595349,1901,Prince Modupe,Prince,male
nm0401792,"june 15, 1896",Fred Humes,Fred,male
nm0607864,"august 21, 1874",Edmund Mortimer,Edmund,male
nm0000370,"december 5, 1901",Walt Disney,Walt,male
nm0000072,"february 27, 1932",Elizabeth Taylor,Elizabeth,female
nm0001450,"october 16, 1925",Angela Lansbury,Angela,female
nm0420862,"august 29, 1937",Jackie 'Butch' Jenkins,Jackie,female
nm0452953,"november 25, 1926",Terry Kilburn,Terry,male
nm0520997,"august 2, 1911",Eugene Loring,Eugene,male
nm0388615,"march 30, 1893",Dennis Hoey,Dennis,male
nm0808317,"june 26, 1892",Gerald Oliver Smith,Gerald,male
nm0235248,"october 16, 1920",Sharon Douglas,Sharon,female
nm0638067,"august 23, 1925",Larry Nunn,Larry,male
nm0683932,"june 23, 1920",Wallace Pindell,Wallace,male
nm0588629,"november 6, 1890",John 'Skins' Miller,John,male
nm0489683,"november 16, 1909",Art Lasky,Art,male
nm0721660,"july 15, 1907",Craig Reynolds,Craig,male
nm0923647,"october 20, 1876",Larry Wheat,Larry,male
nm0653888,"march 26, 1917",Jack Overman,Jack,male
nm0362267,"august 7, 1902",Ann Harding,Ann,female
nm0450810,"november 20, 1916",Evelyn Keyes,Evelyn,female
nm0266242,"january 21, 1919",Jinx Falkenburg,Jinx,female
nm0112108,"july 13, 1922",Leslie Brooks,Leslie,female
nm0590189,"april 8, 1926",Shirley Mills,Shirley,female
nm0732062,"january 1, 1886",Willard Robertson,Willard,male
nm0518879,"april 14, 1922",Audrey Long,Audrey,female
nm0096302,"october 6, 1905",Louis Borel,Louis,male
nm0394477,"february 18, 1900",Russell Hopton,Russell,male
nm0026667,"august 14, 1914",Elaine Anderson,Elaine,female
nm0000856,"august 15, 1879",Ethel Barrymore,Ethel,female
nm0243454,"may 14, 1918",June Duprez,June,female
nm0943553,"august 12, 1910",Jane Wyatt,Jane,female
nm0040722,"december 15, 1877",George Atkinson,George,male
nm0461594,"january 16, 1907",Alexander Knox,Alexander,male
nm0186415,"june 6, 1918",Richard Crane,Richard,male
nm0606502,"february 23, 1922",Dorothy Morris,Dorothy,female
nm0275930,"february 9, 1927",Elvin Field,Elvin,male
nm0807354,"march 23, 1899",Art Smith,Art,male
nm0000331,"october 8, 1943",Chevy Chase,Chevy,male
nm0000101,"july 1, 1952",Dan Aykroyd,Dan,male
nm0001006,"october 31, 1950",John Candy,John,male
nm0000193,"november 11, 1962",Demi Moore,Demi,female
nm0111315,"february 10, 1949",Valri Bromfield,Valri,female
nm0624510,"august 1, 1957",Taylor Negron,Taylor,female
nm0000855,"march 14, 1939",Raymond J. Barry,Raymond,male
nm0236519,"october 31, 1945",Brian Doyle-Murray,Brian,male
nm0921746,"august 3, 1947",John Wesley,John,male
nm0043839,"november 19, 1955",Peter Aykroyd,Peter,male
nm0000838,"october 5, 1960",Daniel Baldwin,Daniel,male
nm0821402,"march 3, 1949",James Staszkiel,James,male
nm0043837,"november 18, 1989",Danielle Aykroyd,Danielle,female
nm0522926,"march 3, 1890",Edmund Lowe,Edmund,male
nm0495519,"june 18, 1894",Ivan Lebedeff,Ivan,male
nm1013246,"january 20, 1907",Paul Sells,Paul,male
nm0878368,"december 13, 1917",Wesley Tuttle,Wesley,male
nm0131713,"december 7, 1910",Rod Cameron,Rod,male
nm0223014,"january 29, 1909",Eddie Dew,Eddie,male
nm0926072,"december 5, 1901",Ray Whitley,Ray,male
nm0338812,"november 17, 1894",Joseph J. Greene,Joseph,male
nm0429070,"november 11, 1898",Ray Jones,Ray,male
nm0086268,"april 23, 1921",Janet Blair,Janet,female
nm0048238,"january 7, 1898",Art Baker,Art,male
nm0054036,"december 26, 1892",Don Barclay,Don,male
nm0000509,"october 20, 1882",Bela Lugosi,Bela,female
nm0624005,"october 14, 1893",Bernard Nedell,Bernard,male
nm0276498,"september 10, 1925",Maxine Fife,Maxine,female
nm0731392,"june 9, 1921",Mark Roberts,Mark,male
nm0205033,"july 16, 1884",Lew Davis,Lew,male
nm0288646,"february 27, 1886",Almeda Fowler,Almeda,female
nm0337893,"january 18, 1884",Harrison Greene,Harrison,male
nm0321088,"march 11, 1898",Dorothy Gish,Dorothy,female
nm0103958,"april 1, 1879",Lionel Braham,Lionel,male
nm0243425,"september 20, 1925",Roland Dupree,Roland,male
nm0152388,"july 29, 1918",Helen Chapman,Helen,female
nm0318474,"april 21, 1895",Aleth Hansen,Aleth,female
nm0795453,"july 4, 1910",Cal Shrum,Cal,male
nm0862086,"april 12, 1899",Chief Thundercloud,Chief,male
nm0725173,"january 11, 1886",Warner Richmond,Warner,male
nm0861680,"may 22, 1887",Jim Thorpe,Jim,male
nm0915250,"september 15, 1933",Twinkle Watts,Twinkle,female
nm0915913,"march 2, 1913",Marjorie Weaver,Marjorie,female
nm0640474,"january 23, 1930",Patsy O'Connor,Patsy,female
nm0805474,"february 18, 1917",Jack Slattery,Jack,male
nm0005958,"march 14, 1922",Les Baxter,Les,male
nm0570731,"april 16, 1911",Christine McIntyre,Christine,female
nm0250888,"february 28, 1871",Joseph Eggenton,Joseph,male
nm0661916,"november 4, 1899",Post Park,Post,male
nm0000007,"december 25, 1899",Humphrey Bogart,Humphrey,male
nm0613389,1909,Corinna Mura,Corinna,female
nm0006471,"october 28, 1902",Elsa Lanchester,Elsa,female
nm0747309,"march 30, 1891",Lionel Royce,Lionel,male
nm0789181,"august 28, 1895",Anita Sharp-Bolster,Anita,female
nm0082153,"may 6, 1888",Lydia Bilbrook,Lydia,female
nm0776746,"april 2, 1896",Hans Schumm,Hans,male
nm0369061,"april 22, 1894",Rondo Hatton,Rondo,male
nm0207321,"june 8, 1889",Harold De Becker,Harold,male
nm0932565,"august 13, 1909",Dave Willock,Dave,male
nm0819206,"february 17, 1907",Charlie Spivak,Charlie,male
nm0055906,"july 5, 1920",Jackie Barnett,Jackie,female
nm0089472,"may 14, 1914",Angela Blue,Angela,female
nm0424565,"june 13, 1918",Ben Johnson,Ben,male
nm0558617,"february 19, 1899",Carl Mathews,Carl,male
nm0926985,"may 16, 1883",Florence Wix,Florence,female
nm0001055,"september 13, 1903",Claudette Colbert,Claudette,female
nm0482957,"june 14, 1904",Gil Lamb,Gil,male
nm0070361,"september 15, 1889",Robert Benchley,Robert,male
nm0083128,"april 15, 1932",Hugh Binyon,Hugh,male
nm0001362,"may 29, 1903",Bob Hope,Bob,male
nm0562920,"november 30, 1920",Virginia Mayo,Virginia,female
nm0572142,"december 10, 1886",Victor McLaglen,Victor,male
nm0492908,"february 17, 1910",Marc Lawrence,Marc,male
nm0351947,"february 18, 1901",Hugo Haas,Hugo,male
nm0403582,"november 30, 1866",Brandon Hurst,Brandon,male
nm0018278,"may 4, 1926",Betty Alexander,Betty,female
nm0623684,"january 28, 1914",Tom Neal,Tom,male
nm0283598,"january 9, 1890",Ray Flynn,Ray,male
nm2045567,"january 31, 1898",Dick Jensen,Dick,male
nm0425735,"september 19, 1922",Marilyn Johnson,Marilyn,female
nm0490886,"june 20, 1903",Eddie Laughton,Eddie,male
nm0225649,"august 13, 1917",Gloria Dickson,Gloria,female
nm0355501,"september 15, 1934",Richard Hall,Richard,male
nm0066555,"september 1, 1930",Carol Ann Beery,Carol,female
nm0397427,"july 27, 1884",Kathleen Howard,Kathleen,female
nm0358069,"march 24, 1923",Murray Hamilton,Murray,male
nm0000704,"january 28, 1981",Elijah Wood,Elijah,male
nm0001557,"october 20, 1958",Viggo Mortensen,Viggo,male
nm0005212,"may 25, 1939",Ian McKellen,Ian,male
nm0089217,"january 13, 1977",Orlando Bloom,Orlando,male
nm0032370,"april 5, 1933",Noel Appleby,Noel,male
nm0040012,"november 27, 1996",Ali Astin,Ali,male
nm0000276,"february 25, 1971",Sean Astin,Sean,male
nm0045324,"june 5, 1946",John Bach,John,male
nm0000293,"april 17, 1959",Sean Bean,Sean,male
nm0000949,"may 14, 1969",Cate Blanchett,Cate,female
nm0101710,"august 28, 1968",Billy Boyd,Billy,male
nm1480092,"september 13, 1996",Sadwyn Brophy,Sadwyn,
nm0115143,"february 8, 1954",Alistair Browning,Alistair,male
nm0190744,"june 30, 1966",Marton Csokas,Marton,male
nm0384060,"december 17, 1944",Bernard Hill,Bernard,male
nm0235060,"august 7, 1903",George Douglas,George,male
nm0237523,"july 17, 1899",Curley Dresden,Curley,male
nm0929097,"september 18, 1902",William Wilkerson,William,male
nm0279951,"may 3, 1887",George Fiske,George,male
nm0747301,"december 20, 1910",Frosty Royce,Frosty,male
nm0028749,"march 24, 1924",Lois Andrews,Lois,female
nm0456153,"february 18, 1879",George Kirby,George,male
nm0593631,"november 6, 1904",Norval Mitchell,Norval,male
nm0713281,"december 14, 1901",Jack Raymond,Jack,male
nm0416895,"february 20, 1924",Rosemonde James,Rosemonde,female
nm0392037,"march 6, 1909",Salty Holmes,Salty,male
nm0267916,"june 5, 1878",Franklyn Farnum,Franklyn,male
nm0294223,"april 21, 1899",Ted French,Ted,male
nm0332517,"may 2, 1886",William Gould,William,male
nm0492814,"february 3, 1915",Jane Lawrence,Jane,female
nm0933754,"january 28, 1920",Lewis Wilson,Lewis,male
nm0531705,"may 7, 1908",Edmund MacDonald,Edmund,male
nm0641776,"september 3, 1890",Pat O'Malley,Pat,male
nm0830549,"october 11, 1921",Linda Stirling,Linda,female
nm0929057,"may 18, 1914",Robert J. Wilke,Robert,male
nm0662830,"september 3, 1899",Cliff Parkinson,Cliff,male
nm0089314,"december 23, 1887",Eric Blore,Eric,male
nm0000036,"october 4, 1895",Buster Keaton,Buster,male
nm0924229,"june 21, 1928",Rudy Wissler,Rudy,male
nm0587213,"april 1, 1938",Peter Miles,Peter,male
nm0389824,"may 21, 1889",Arthur Hohl,Arthur,male
nm0637779,"july 7, 1937",Carol Nugent,Carol,female
nm0528973,"october 8, 1934",Richard Lyon,Richard,male
nm0026648,"december 17, 1918",Dusty Anderson,Dusty,male
nm0455491,"september 20, 1881",Walter Kingsford,Walter,male
nm0367516,"june 27, 1884",Forrester Harvey,Forrester,male
nm0941520,"december 14, 1886",Frederick Worlock,Frederick,male
nm0908153,"october 13, 1918",Robert Walker,Robert,male
nm0193321,"february 27, 1915",Donald Curtis,Donald,male
nm0680883,"june 1, 1908",William 'Bill' Phillips,William,male
nm1075805,"november 5, 1922",Margaret Adden,Margaret,female
nm0007224,"november 21, 1912",Eleanor Powell,Eleanor,female
nm0287108,"december 13, 1921",Mimi Forsythe,Mimi,female
nm0145273,"april 8, 1912",Hubert Castle,Hubert,male
nm0876008,"january 13, 1884",Sophie Tucker,Sophie,female
nm0232392,"april 6, 1924",Dorothy Donegan,Dorothy,female
nm0130572,"december 25, 1907",Cab Calloway,Cab,male
nm0379234,"may 16, 1913",Woody Herman,Woody,male
nm0496071,"december 25, 1910",David Lichine,David,male
nm0863877,"may 23, 1921",Loren Tindall,Loren,male
nm0589981,"march 8, 1918",Edwin Mills,Edwin,male
nm0684984,"december 24, 1902",Nino Pipitone,Nino,male
nm0905688,"february 21, 1896",Charles Wagenheim,Charles,male
nm0791616,"april 2, 1913",Elaine Shepard,Elaine,female
nm0167407,"december 2, 1909",June Clyde,June,female
nm0706283,"december 30, 1899",Michael Raffetto,Michael,male
nm0310843,"october 10, 1900",Gregory Gaye,Gregory,male
nm0104609,"january 22, 1922",Rebel Randall,Rebel,male
nm0908796,"september 24, 1887",Milton Wallace,Milton,male
nm0532307,"february 6, 1904",Casey MacGregor,Casey,male
nm0000075,"april 5, 1900",Spencer Tracy,Spencer,male
nm0368516,"august 15, 1915",Signe Hasso,Signe,female
nm0001788,"june 7, 1909",Jessica Tandy,Jessica,female
nm0516762,"june 24, 1910",Katherine Locke,Katherine,female
nm0894524,"april 6, 1918",Kaaren Verne,Kaaren,female
nm0840518,"september 17, 1905",George Suzanne,George,male
nm0920987,"april 23, 1897",John Wengraf,John,male
nm0768996,"may 7, 1903",Frank J. Scannell,Frank,male
nm0190368,"june 4, 1881",Juan de la Cruz,Juan,male
nm0817098,"june 19, 1910",Anitra Sparrow,Anitra,female
nm0364237,"march 18, 1895",Buck Harrington,Buck,male
nm0235677,"april 11, 1924",Kaye Dowd,Kaye,female
nm0516030,"november 3, 1918",Jimmy Lloyd,Jimmy,male
nm0290190,"september 13, 1920",Carole Mathews,Carole,female
nm0485499,"march 3, 1901",Pat Lane,Pat,male
nm0913025,"march 27, 1901",Ruth Warren,Ruth,female
nm0115479,"march 16, 1909",Gary Bruce,Gary,male
nm0139378,"may 31, 1919",Jimmy Carpenter,Jimmy,male
nm0351744,"march 2, 1903",William Haade,William,male
nm0152373,"january 18, 1931",Freddie Chapman,Freddie,male
nm0650961,"february 9, 1890",Artie Ortego,Artie,male
nm0604605,"december 20, 1908",Dennis Morgan,Dennis,male
nm0757064,"february 2, 1883",S.Z. Sakall,S.Z.,
nm0614115,"march 9, 1889",Bob Murphy,Bob,male
nm0011335,"december 16, 1870",Samuel Adams,Samuel,male
nm0117443,"october 5, 1911",Betty Bryson,Betty,female
nm0170929,"february 12, 1915",Barbara Coleman,Barbara,female
nm0515927,"march 27, 1920",Beverly Lloyd,Beverly,female
nm0086274,"june 8, 1903",Joan Blair,Joan,female
nm0204639,"november 7, 1889",George Davis,George,male
nm0282404,"november 15, 1911",Kelly Flint,Kelly,female
nm0020370,"november 20, 1876",Chris Allen,Chris,male
nm0428354,"march 2, 1919",Jennifer Jones,Jennifer,female
nm0000859,"april 28, 1878",Lionel Barrymore,Lionel,male
nm0567408,"june 10, 1893",Hattie McDaniel,Hattie,female
nm0060168,"september 7, 1867",Albert Bassermann,Albert,male
nm0534972,"january 19, 1922",Guy Madison,Guy,male
nm0602803,"january 26, 1923",Jackie Moran,Jackie,female
nm0427452,"october 14, 1907",Allan Jones,Allan,male
nm0771696,"june 20, 1908",Gus Schilling,Gus,male
nm0145282,"february 26, 1916",Joan Castle,Joan,female
nm0627840,"january 6, 1894",William Newell,William,male
nm0172264,"may 29, 1917",Dean Collins,Dean,male
nm0006024,"may 13, 1909",Ken Darby,Ken,male
nm0229912,"march 28, 1907",Jon Dodson,Jon,male
nm0512974,"april 30, 1909",Bud Linn,Bud,male
nm0733000,"november 11, 1910",Rad Robinson,Rad,male
nm0936484,"december 24, 1913",Myrtle Wiseman,Myrtle,female
nm0936495,"november 8, 1909",Scotty Wiseman,Scotty,male
nm0156190,"august 16, 1891",Harry Cheshire,Harry,male
nm0571517,"february 19, 1918",Fay McKenzie,Fay,female
nm0823397,"november 27, 1927",Pat Starling,Pat,male
nm0196161,"february 3, 1913",Louis Da Pron,Louis,male
nm0177622,"december 17, 1910",Spade Cooley,Spade,male
nm0740300,"august 15, 1925",Anne Rooney,Anne,female
nm0540501,"october 9, 1925",Ray Malone,Ray,male
nm0637161,"march 3, 1906",Donald Novis,Donald,male
nm0173908,"may 18, 1912",Perry Como,Perry,male
nm0485977,"july 8, 1917",Glenn Langan,Glenn,male
nm0091193,"march 6, 1920",Mabel Boehlke,Mabel,female
nm0110789,"december 7, 1906",Esther Brodelet,Esther,female
nm0001944,"february 16, 1903",Edgar Bergen,Edgar,male
nm0007225,"april 1, 1929",Jane Powell,Jane,female
nm0642283,"april 8, 1924",Peggy O'Neill,Peggy,female
nm0160684,"september 14, 1925",Bill Christy,Bill,male
nm0219666,"november 20, 1891",Reginald Denny,Reginald,male
nm0387556,"may 1, 1906",Rose Hobart,Rose,female
nm0443387,"march 13, 1910",Sammy Kaye,Sammy,male
nm0033692,"december 26, 1921",Cay Forester,Cay,male
nm0285772,"july 7, 1924",Mary Ford,Mary,female
nm0555529,"january 27, 1904",Frankie Marvin,Frankie,male
nm0539733,"february 26, 1907",Cy Malis,Cy,male
nm0638692,"january 19, 1903",Ervin Nyiregyhazi,Ervin,male
nm0675002,"december 26, 1900",Charles Perry,Charles,male
nm0363539,"october 21, 1923",Marie Harmon,Marie,female
nm2927863,"march 24, 1915",Bill Bivens,Bill,male
nm0332479,"august 8, 1890",Rita Gould,Rita,female
nm0236143,"january 6, 1913",Vernon Downing,Vernon,male
nm0063038,"july 4, 1897",Mary Bayless,Mary,female
nm0072491,"january 6, 1876",Frank Benson,Frank,male
nm0214401,"july 31, 1892",Jack Deery,Jack,male
nm0334076,"february 5, 1904",Herschel Graham,Herschel,male
nm0784689,"february 5, 1896",Carl Sepulveda,Carl,male
nm0529036,"july 4, 1901",Cliff Lyons,Cliff,male
nm0532952,"august 8, 1899",Cactus Mack,Cactus,male
nm0593411,"february 29, 1920",James Mitchell,James,male
nm0950019,"november 11, 1887",Roland Young,Roland,male
nm0926475,"november 30, 1883",Josephine Whittell,Josephine,female
nm0045735,"october 13, 1900",Georgia Backus,Georgia,female
nm0192619,"august 15, 1900",Elvira Curci,Elvira,female
nm0204266,"june 19, 1885",Boyd Davis,Boyd,male
nm0001119,"september 1, 1922",Yvonne De Carlo,Yvonne,female
nm0641988,"december 12, 1920",Danny O'Neil,Danny,male
nm0170713,"march 17, 1919",Nat 'King' Cole,Nat,male
nm0588656,"february 24, 1915",Johnny Miller,Johnny,male
nm1784680,"december 25, 1916",Oscar Moore,Oscar,male
nm0579663,"february 18, 1890",Adolphe Menjou,Adolphe,male
nm1057967,"july 26, 1924",Iris Bocignon,Iris,female
nm0055151,"december 18, 1909",Mona Barrie,Mona,female
nm0717256,"january 16, 1920",Elliott Reid,Elliott,male
nm0568587,"january 22, 1905",Renny McEvoy,Renny,male
nm0861342,"september 12, 1917",Oliver Thorndike,Oliver,male
nm0110159,"september 26, 1919",Barbara Britton,Barbara,female
nm0026049,"december 17, 1895",Rudolph Anders,Rudolph,male
nm0152460,"march 9, 1918",Marguerite Chapman,Marguerite,female
nm0340706,"march 22, 1917",Virginia Grey,Virginia,female
nm0641876,"december 23, 1893",Anne O'Neal,Anne,female
nm0524181,"april 18, 1887",Jimmie Lucas,Jimmie,male
nm0837998,"april 24, 1899",Charles Sullivan,Charles,male
nm0606531,"august 3, 1908",Frances Morris,Frances,female
nm0792812,"april 18, 1892",George Sherwood,George,male
nm0496819,"january 2, 1913",Anna Lee,Anna,female
nm0481594,"july 13, 1914",Laurie Lane,Laurie,female
nm0462516,"december 30, 1891",Nina Koshetz,Nina,female
nm0550820,"april 28, 1933",Connie Marshall,Connie,female
nm0191856,"january 31, 1933",Billy Cummings,Billy,male
nm0533458,"december 24, 1930",Gerald Mackey,Gerald,male
nm0570267,"april 12, 1936",Mickey McGuire,Mickey,male
nm0780744,"september 6, 1916",Barbara Sears,Barbara,female
nm0366940,"june 12, 1898",Dick Hartman,Dick,male
nm0912821,"may 25, 1919",Elmer Warren,Elmer,male
nm0295059,"may 15, 1885",Joel Friedkin,Joel,male
nm0364072,"august 12, 1911",Scotty Harrel,Scotty,male
nm0199787,"march 5, 1894",Henry Daniell,Henry,male
nm0411935,"november 27, 1880",Rosalind Ivan,Rosalind,female
nm0786358,"june 19, 1930",Raymond Severn,Raymond,male
nm0111693,"march 31, 1873",Clifford Brooke,Clifford,male
nm0039054,"march 18, 1921",Eve Ashley,Eve,female
nm0329015,"may 30, 1909",Benny Goodman,Benny,male
nm0072635,"january 16, 1914",Roy Benson,Roy,male
nm0206068,"january 31, 1927",Billy Dawson,Billy,male
nm0580916,"december 10, 1903",Una Merkel,Una,female
nm0661997,"may 6, 1904",Harry Einstein,Harry,male
nm0295533,"november 20, 1915",Joel Friend,Joel,male
nm0942174,"september 20, 1887",Cobina Wright Sr.,Cobina,female
nm0456492,"october 1, 1903",Joe Kirk,Joe,male
nm0347827,"september 6, 1908",Dorothy Gulliver,Dorothy,female
nm0103482,"may 23, 1913",Dorothy Bradshaw,Dorothy,female
nm0863514,"november 14, 1915",Martha Tilton,Martha,female
nm0172206,"january 7, 1904",Charles Collins,Charles,male
nm0391612,"march 15, 1872",Harry Holman,Harry,male
nm0110787,"november 25, 1919",Betty Brodel,Betty,female
