actorid,dob
nm0822034,"january 11, 1908"
nm0825624,"april 1, 1905"
nm0012283,"october 7, 1907"
nm0864848,"july 22, 1878"
nm0917297,"february 14, 1896"
nm0188420,"september 3, 1890"
nm0362406,"january 4, 1918"
nm0091781,"november 14, 1917"
nm0105372,"may 22, 1912"
nm0360159,"november 7, 1907"
nm0393622,"september 8, 1919"
nm0446503,"june 29, 1901"
nm0498035,"may 2, 1907"
nm0529038,"october 3, 1908"
nm0053616,"november 19, 1865"
nm0000010,"july 17, 1899"
nm0796662,"august 8, 1910"
nm0356718,"october 19, 1907"
nm0151057,"november 29, 1885"
nm0041138,"april 22, 1911"
nm0497176,"january 17, 1930"
nm0122594,"september 1, 1878"
nm0602877,"november 27, 1907"
nm0321641,"may 27, 1922"
nm0168215,"may 25, 1917"
nm0174758,"august 16, 1900"
nm0094494,"november 24, 1904"
nm0138044,"march 17, 1902"
nm0490077,"may 23, 1903"
nm0527429,"august 3, 1908"
nm0001640,"december 1, 1940"
nm0571188,"july 22, 1954"
nm0004834,"october 1, 1947"
nm0001583,"october 20, 1935"
nm0385757,"july 19, 1924"
nm0271165,"december 27, 1952"
nm0341055,"june 14, 1944"
nm0419273,"july 22, 1944"
nm0924668,"april 4, 1916"
nm0218731,"march 1, 1929"
nm0937387,"september 22, 1953"
nm0191783,"march 4, 1940"
nm0463100,"april 10, 1936"
nm0137142,"january 23, 1934"
nm0807025,"january 24, 1951"
nm0001548,"april 18, 1953"
nm0263151,"april 13, 1903"
nm0014710,"may 4, 1881"
nm0185328,"november 20, 1920"
nm0491048,"june 16, 1890"
nm0001316,"january 18, 1892"
nm0940231,"april 20, 1928"
nm0028595,"july 4, 1921"
nm0182536,"april 23, 1913"
nm0185704,"august 12, 1894"
nm0201597,"november 19, 1904"
nm0212471,"june 15, 1920"
nm0231529,"march 19, 1894"
nm0277263,"november 6, 1899"
nm0347972,"june 15, 1921"
nm0751062,"march 31, 1918"
nm0382722,"may 18, 1934"
nm0732938,"june 10, 1931"
nm0004464,"march 7, 1902"
nm0374919,"november 11, 1908"
nm0775596,"january 10, 1922"
nm0459032,"november 12, 1907"
nm0824284,"january 18, 1901"
nm0231431,"may 15, 1902"
nm0770805,"february 27, 1915"
nm0318854,"august 23, 1927"
nm0627219,"december 3, 1923"
nm0473213,"march 13, 1906"
nm0644383,"december 28, 1904"
nm0299831,"december 12, 1907"
nm0780907,"april 26, 1930"
nm0359334,"october 14, 1928"
nm0720194,"april 24, 1911"
nm0523253,"september 22, 1914"
nm0741739,"february 4, 1902"
nm0535424,"october 30, 1893"
nm0738042,"december 11, 1905"
nm0227243,"december 19, 1897"
nm0386868,"may 29, 1887"
nm1116891,"november 8, 1901"
nm0330078,1914
nm0086680,"august 6, 1915"
nm0946363,"october 2, 1900"
nm0075441,"march 3, 1931"
nm0254609,"october 9, 1879"
nm0332058,"september 15, 1915"
nm0908294,"july 31, 1908"
nm0576482,"august 14, 1897"
nm0771584,"march 22, 1896"
nm0000992,"august 7, 1884"
nm0613262,"june 16, 1903"
nm0392403,"august 14, 1927"
nm0126075,"december 2, 1913"
nm0197846,"august 31, 1883"
nm1292534,"march 5, 1935"
nm0570115,"january 21, 1904"
nm0512988,"july 10, 1904"
nm0294072,"october 19, 1904"
nm0874986,1899
nm0159442,"june 26, 1933"
nm0157921,"november 5, 1922"
nm0284564,"february 8, 1911"
nm0492287,"june 13, 1915"
nm0502979,"november 2, 1889"
nm0156791,"january 19, 1933"
nm0285154,"january 9, 1901"
nm0939134,"september 21, 1913"
nm1001355,"november 14, 1930"
nm0398857,"february 25, 1941"
nm0159424,"december 1, 1929"
nm1065632,"august 24, 1934"
nm3881035,"june 10, 1931"
nm0306786,"february 27, 1903"
nm0174049,"january 27, 1907"
nm0101640,"april 20, 1899"
nm0549979,"february 14, 1900"
nm0485604,"april 23, 1926"
nm0700180,"february 3, 1894"
nm0250099,"july 15, 1894"
nm0555655,"october 28, 1914"
nm0596660,"march 4, 1899"
nm0160046,"november 13, 1923"
nm0011037,"august 7, 1918"
nm0365509,"september 9, 1889"
nm0586903,"april 18, 1885"
nm0815376,"november 20, 1869"
nm0858537,"march 12, 1931"
nm0026434,"march 6, 1933"
nm0035701,"june 2, 1934"
nm0000185,"november 3, 1957"
nm0925220,"november 10, 1967"
nm1553725,"march 15, 1985"
nm0879085,"december 30, 1978"
nm0425053,"august 7, 1979"
nm0788370,"april 11, 1971"
nm4876129,"june 22, 1981"
nm9292370,"august 10, 1991"
nm0480739,"may 23, 1968"
nm0668093,"december 17, 1900"
nm0376905,"november 3, 1928"
nm0335517,"october 30, 1870"
nm0020549,"september 22, 1901"
nm0028541,"april 17, 1895"
nm0236866,"october 2, 1917"
nm0109034,"august 17, 1879"
nm0139099,"january 12, 1903"
nm0197982,"may 26, 1920"
nm0242972,"january 25, 1901"
nm0746949,"may 24, 1928"
nm0521682,"september 3, 1874"
nm0066399,"july 2, 1936"
nm0140550,"april 20, 1936"
nm0154989,"april 12, 1917"
nm0012204,"may 4, 1903"
nm0053299,"august 17, 1902"
nm0179289,"june 3, 1911"
nm0045829,"november 29, 1936"
nm0612847,"september 22, 1895"
nm0577915,"august 9, 1907"
nm0869830,"july 27, 1910"
nm0139392,"august 21, 1900"
nm0140571,"april 26, 1905"
nm0440538,"november 28, 1903"
nm0410369,"june 19, 1918"
nm0318102,"february 27, 1903"
nm0607953,"february 5, 1915"
nm0883922,"may 20, 1920"
nm0065975,"july 1, 1903"
nm0114319,"december 4, 1884"
nm0110917,"november 25, 1919"
nm0446120,"june 3, 1916"
nm0925024,"february 11, 1908"
nm0370098,"november 21, 1904"
nm0678652,"september 30, 1922"
nm0060845,"august 6, 1925"
nm0083280,"january 13, 1912"
nm0549288,"december 15, 1935"
nm0262827,"may 21, 1875"
nm0869429,"december 20, 1917"
nm0656727,"december 19, 1880"
nm0027566,"march 10, 1911"
nm0095741,"june 19, 1916"
nm0144082,"march 3, 1912"
nm0157522,"november 15, 1892"
nm0037816,"june 18, 1925"
nm0636547,"february 10, 1907"
nm0659947,"november 3, 1872"
nm0806670,"november 27, 1902"
nm0332457,"december 10, 1913"
nm0864854,"august 30, 1929"
nm0478710,"november 6, 1895"
nm0562872,"march 11, 1898"
nm0833340,"december 13, 1892"
nm0310730,"december 2, 1889"
nm0443000,"april 21, 1907"
nm0146816,"may 6, 1913"
nm0812698,c. 1891
nm0012113,"march 24, 1906"
nm0176747,"march 16, 1903"
nm0339452,"september 9, 1924"
nm0474139,"september 21, 1932"
nm0908797,"july 26, 1881"
nm0051199,"november 8, 1909"
nm0127677,"april 20, 1904"
nm0272119,"may 30, 1907"
nm0610950,"april 11, 1883"
nm0691123,"november 13, 1925"
nm0462846,"april 4, 1920"
nm0096139,"april 10, 1915"
nm0801577,"february 7, 1907"
nm0829643,"october 7, 1922"
nm0242911,"january 13, 1918"
nm0849579,"october 22, 1915"
nm0196125,1929
nm0000851,"may 8, 1919"
nm0164202,"november 4, 1905"
nm0189194,"may 8, 1907"
nm0751255,"january 25, 1933"
nm0017021,"april 4, 1913"
nm0068215,"may 5, 1895"
nm0322319,"february 6, 1888"
nm0306908,"june 29, 1901"
nm0197837,"july 17, 1915"
nm0134658,"september 4, 1898"
nm0570752,"november 29, 1914"
nm0170574,"april 27, 1911"
nm0206309,"august 18, 1912"
nm0285376,"january 1, 1883"
nm0333807,"august 13, 1903"
nm0143912,"october 12, 1884"
nm0215298,"december 5, 1913"
nm0427686,"july 18, 1919"
nm6145235,"january 10, 1917"
nm0192062,"april 8, 1893"
nm0570192,"june 14, 1916"
nm0622450,"june 19, 1905"
nm0257473,"january 2, 1935"
nm0629372,"march 17, 1921"
nm0268325,1911
nm0391064,"august 3, 1922"
nm0549241,"june 1, 1922"
nm0761720,"april 2, 1903"
nm0431502,"february 25, 1917"
nm0786360,"january 17, 1938"
nm0400728,"january 16, 1914"
nm0506971,"march 6, 1935"
nm0861372,"september 26, 1904"
nm0227823,"june 5, 1909"
nm0244030,"october 1, 1889"
nm0384063,1921
nm0391833,"november 25, 1918"
nm0617050,"september 27, 1892"
nm0039062,"april 18, 1874"
nm0101706,"may 11, 1908"
nm0172213,"december 3, 1898"
nm0946490,"april 29, 1915"
nm0500216,"february 12, 1910"
nm0132321,"march 20, 1883"
nm0448696,"october 12, 1881"
nm0413932,"july 19, 1927"
nm0486108,"january 5, 1919"
nm0410352,"march 12, 1880"
nm0124564,"july 29, 1918"
nm0675243,"october 22, 1895"
nm0151749,"december 6, 1906"
nm0026790,"march 10, 1919"
nm0037624,1919
nm0151104,"march 28, 1892"
nm0157850,"september 28, 1910"
nm0159066,"december 2, 1898"
nm0455128,"february 18, 1914"
nm0928550,"october 30, 1922"
nm0037783,"may 20, 1883"
nm0107063,"november 13, 1915"
nm0338413,"march 16, 1893"
nm0042453,"april 3, 1901"
nm0115766,"november 1, 1904"
nm0799686,"july 17, 1938"
nm0072969,"july 8, 1896"
nm0893900,"april 20, 1925"
nm0425903,"april 18, 1881"
nm0739669,"march 11, 1908"
nm0034591,"october 6, 1935"
nm0057099,"june 22, 1906"
nm0115170,"february 20, 1891"
nm0233040,"november 29, 1878"
nm0843158,"july 10, 1876"
nm0832561,"april 5, 1922"
nm0431889,"february 21, 1912"
nm0874497,"august 2, 1898"
nm0932617,"august 5, 1933"
nm0484782,"may 3, 1893"
nm0591409,"october 5, 1895"
nm0712872,"september 5, 1904"
nm0271658,"july 20, 1890"
nm0189342,1917
nm0828594,"december 13, 1916"
nm0007880,"september 24, 1900"
nm0548270,"march 15, 1886"
nm0221353,"september 28, 1899"
nm0238834,"march 14, 1900"
nm0283883,"june 28, 1886"
nm0334724,"march 24, 1885"
nm0354860,"may 27, 1886"
nm0565993,"april 5, 1915"
nm0188357,"july 2, 1893"
nm0838211,"may 11, 1911"
nm0290354,"november 26, 1917"
nm0366415,"january 27, 1917"
nm0815403,"march 26, 1901"
nm0822820,"september 18, 1885"
nm0285319,"june 9, 1912"
nm0549273,"october 26, 1926"
nm0141111,"august 15, 1900"
nm0727523,"april 24, 1871"
nm0930253,"december 18, 1921"
nm0052274,"march 26, 1919"
nm0827647,"july 1, 1907"
nm0819120,"november 7, 1890"
nm0993312,"october 19, 1911"
nm0020622,"october 24, 1916"
nm0137511,"september 2, 1921"
nm0601721,c. 1901
nm0734776,"february 3, 1903"
nm0628602,"august 4, 1904"
nm0483173,"april 13, 1920"
nm0488103,"march 7, 1886"
nm0924181,"october 29, 1876"
nm0679814,"may 15, 1893"
nm0672574,"june 10, 1915"
nm0289492,"august 16, 1914"
nm0550518,"october 4, 1893"
nm0764972,"march 7, 1909"
nm0811413,"january 5, 1905"
nm0668876,"july 25, 1898"
nm0872103,"march 11, 1902"
nm0364441,"july 7, 1896"
nm0893086,"september 15, 1921"
nm0507849,"june 10, 1873"
nm0738985,"february 20, 1890"
nm0722438,"august 7, 1904"
nm0103423,"february 8, 1905"
nm0898589,"october 24, 1901"
nm0001991,"october 25, 1886"
nm0820460,"december 19, 1898"
nm0068772,"february 12, 1905"
nm0926819,"may 2, 1892"
nm0511679,"june 27, 1902"
nm0011437,"may 8, 1887"
nm0022895,"august 18, 1904"
nm0073116,"august 26, 1910"
nm0330025,"april 8, 1895"
nm0903266,"july 11, 1906"
nm0934780,"april 14, 1892"
nm0548006,"september 14, 1900"
nm0365201,"june 24, 1904"
nm0024677,"april 30, 1922"
nm0291483,"december 7, 1917"
nm0485439,"may 21, 1906"
nm0048417,"november 17, 1897"
nm0001552,"june 28, 1932"
nm0605080,"november 26, 1986"
nm0001118,"october 18, 1951"
nm0005286,"april 10, 1988"
nm0001319,"september 2, 1951"
nm0645785,"april 20, 1959"
nm0233209,"february 22, 1928"
nm0263283,"february 16, 1948"
nm0408989,"november 1, 1944"
nm0471258,"may 14, 1947"
nm0652090,"january 25, 1959"
nm0587778,"september 26, 1967"
nm0567309,1982
nm0163662,"november 23, 1984"
nm0828668,"march 29, 1902"
nm0290066,"december 2, 1867"
nm0902049,"may 27, 1881"
nm0082884,"march 30, 1889"
nm0831736,"november 28, 1883"
nm0033948,"november 14, 1902"
nm0071781,"october 21, 1899"
nm0840373,"may 14, 1910"
nm0305087,"march 11, 1887"
nm0165715,"august 26, 1917"
nm0023894,"march 10, 1905"
nm0746191,"may 7, 1901"
nm0502460,1881
nm0733695,"june 26, 1915"
nm0056546,"february 15, 1910"
nm0256312,"october 11, 1906"
nm0222074,"september 16, 1890"
nm0361259,"august 27, 1905"
nm0460432,"june 27, 1911"
nm0173382,"june 17, 1902"
nm0934386,"october 21, 1901"
nm0377012,"april 8, 1912"
nm0424591,"march 22, 1916"
nm1078616,1911
nm0020521,"may 31, 1894"
nm0884964,"july 28, 1901"
nm0684837,"march 5, 1903"
nm0525588,"july 23, 1911"
nm0925697,"march 3, 1880"
nm0106737,"november 13, 1906"
nm0605904,"december 12, 1909"
nm0502519,"july 11, 1897"
nm3850912,"december 3, 1910"
nm0319557,"december 20, 1906"
nm0336796,"december 11, 1905"
nm0614779,"january 9, 1921"
nm0276058,"february 14, 1901"
nm0925991,"may 19, 1931"
nm0289724,"april 21, 1923"
nm0399824,"january 9, 1924"
nm0676688,"july 3, 1921"
nm0520472,"june 23, 1920"
nm0733059,"august 18, 1887"
nm0018540,"september 22, 1898"
nm0919961,"june 25, 1925"
nm0254622,"august 24, 1921"
nm0136293,"october 4, 1892"
nm0171887,"january 22, 1878"
nm0724110,"october 27, 1893"
nm0245943,"august 19, 1918"
nm0636199,"august 11, 1868"
nm0900328,"march 13, 1890"
nm0805338,"december 17, 1920"
nm0313455,"december 11, 1888"
nm0391009,"march 31, 1917"
nm0664273,"october 13, 1912"
nm0079473,"june 1, 1908"
nm0166681,"february 17, 1900"
nm0263716,"september 19, 1868"
nm0802325,"september 15, 1908"
nm0799982,"october 1, 1934"
nm0616080,"june 3, 1939"
nm0822205,"september 28, 1918"
nm0257902,"august 13, 1909"
nm0141112,"december 24, 1916"
nm0217747,"march 15, 1891"
nm0568316,"august 14, 1870"
nm0229613,"september 17, 1910"
nm0606998,"february 17, 1914"
nm0000730,"january 31, 1921"
nm0528924,"april 9, 1918"
nm0531756,"june 28, 1914"
nm0058885,"november 8, 1922"
nm0141275,"january 15, 1909"
nm0419593,"november 2, 1925"
nm0866341,"october 16, 1919"
nm0603096,"april 6, 1887"
nm0904145,"december 24, 1916"
nm0039049,"august 12, 1904"
nm0528988,"august 14, 1887"
nm0027229,"may 26, 1907"
nm0376396,"july 5, 1883"
nm0371834,"february 1, 1881"
nm0507568,"june 26, 1880"
nm0850896,"october 23, 1896"
nm0725529,"january 15, 1853"
nm0792166,"june 11, 1869"
nm0570297,"september 1, 1873"
nm0177690,"october 15, 1935"
nm0317556,"december 14, 1924"
nm0523353,"february 13, 1914"
nm0181690,"october 26, 1881"
nm0147147,"may 5, 1983"
nm2309517,"august 28, 1986"
nm2539953,"october 3, 1988"
nm4456120,"august 24, 1990"
nm1017719,"august 7, 1974"
nm0343857,"march 31, 1958"
nm0000424,"september 9, 1960"
nm0364813,august 24
nm0075321,"october 28, 1957"
nm1296172,"november 16, 1961"
nm4350702,"september 10, 1989"
nm0579696,"may 10, 1977"
nm0778637,"july 11, 1966"
nm0050827,"january 21, 1902"
nm0245304,"august 2, 1911"
nm0726546,"august 11, 1905"
nm0009931,"october 23, 1893"
nm0042731,"september 19, 1912"
nm0023151,"august 1, 1936"
nm0604174,"march 18, 1907"
nm0230633,1891
nm0716162,"january 28, 1892"
nm1152985,"september 2, 1909"
nm0026841,"july 13, 1920"
nm0710424,"april 4, 1890"
nm0790122,"july 21, 1915"
nm0855827,"april 29, 1904"
nm0878613,"november 28, 1906"
nm0276247,"january 9, 1898"
nm0215968,"november 17, 1891"
nm0858520,"april 1, 1916"
nm0020683,"december 23, 1895"
nm0672571,"may 31, 1915"
nm0416595,"november 27, 1910"
nm0363047,"february 22, 1914"
nm0573786,"april 24, 1878"
nm0604703,"april 25, 1898"
nm0626453,"december 12, 1889"
nm0654219,"september 27, 1891"
nm0221439,"february 18, 1901"
nm0858813,"february 17, 1891"
nm0550514,"april 6, 1919"
nm0159243,"april 30, 1885"
nm0139383,"june 25, 1914"
nm1330553,"april 7, 1902"
nm0371956,"april 11, 1874"
nm0060465,"may 17, 1944"
nm0760827,"november 23, 1899"
nm0715284,"august 20, 1907"
nm0171028,"june 19, 1892"
nm0808756,"february 16, 1884"
nm0197655,"september 6, 1881"
nm0045592,"january 2, 1908"
nm0068705,"june 30, 1899"
nm0360372,"june 14, 1891"
nm0360370,"october 9, 1920"
nm0358648,"march 16, 1906"
nm0455392,"january 15, 1920"
nm0174725,"september 3, 1918"
nm0454441,"august 14, 1915"
nm0455017,"december 21, 1913"
nm0940627,"may 5, 1929"
nm0394121,"april 23, 1918"
nm0139794,"march 14, 1874"
nm0795884,"march 4, 1884"
nm0335215,"july 13, 1907"
nm0010717,"january 11, 1922"
nm0193411,"july 2, 1916"
nm0715192,"august 24, 1904"
nm1023871,"march 11, 1914"
nm0475121,"february 21, 1917"
nm0188986,"june 27, 1933"
nm0189036,"july 13, 1934"
nm0188977,"july 13, 1934"
nm0189016,"january 5, 1938"
nm0278597,"december 20, 1900"
nm0454772,"february 8, 1905"
nm1678536,"february 5, 1912"
nm0129722,"september 6, 1907"
nm0936755,"january 5, 1890"
nm0262623,"april 25, 1885"
nm0024703,"october 31, 1921"
nm0741029,"november 11, 1918"
nm0031364,"november 4, 1921"
nm0883842,"september 6, 1912"
nm3052637,"january 7, 1895"
nm3052953,"april 20, 1907"
nm0342216,"july 4, 1940"
nm0602847,"march 18, 1887"
nm0000909,"october 22, 1904"
nm0898693,"september 6, 1909"
nm0195077,"june 2, 1878"
nm0572132,"july 28, 1920"
nm0209172,"august 4, 1902"
nm0214168,"november 26, 1909"
nm0013912,"june 25, 1920"
nm0142062,"march 29, 1924"
nm0941659,"september 25, 1912"
nm0694446,"december 7, 1902"
nm0273886,"november 28, 1901"
nm0366457,"april 7, 1879"
nm0944079,"december 4, 1899"
nm0564858,"september 20, 1939"
nm0266830,"september 6, 1885"
nm0093988,"january 18, 1908"
nm0229055,"august 1, 1914"
nm0908828,"september 1, 1886"
nm0001918,"august 4, 1901"
nm0612864,"december 3, 1887"
nm0051455,"may 31, 1921"
nm1767034,"august 31, 1916"
nm0002896,"august 26, 1931"
nm0570190,"february 28, 1919"
nm0195235,"may 15, 1909"
nm0540047,"october 27, 1913"
nm0174048,"june 21, 1923"
nm0248203,"november 4, 1899"
nm0171723,"september 28, 1921"
nm0400537,"may 22, 1901"
nm0107213,"march 14, 1881"
nm0184524,"january 26, 1921"
nm0186608,"october 2, 1892"
nm0250287,"june 13, 1913"
nm0738966,"september 26, 1915"
nm0906022,"november 28, 1901"
nm0166976,"february 3, 1915"
nm0452404,"july 31, 1886"
nm0017376,"february 26, 1914"
nm0504125,"january 26, 1925"
nm0084098,"august 30, 1914"
nm0505157,"december 27, 1906"
nm0427231,"may 26, 1886"
nm0924824,"march 12, 1892"
nm0113039,"august 9, 1912"
nm0400702,"july 17, 1904"
nm0744945,"march 6, 1932"
nm0872695,"september 13, 1903"
nm0872694,"april 10, 1905"
nm0911438,"november 26, 1904"
nm0394404,"november 11, 1912"
nm0821300,"november 12, 1917"
nm0342207,"april 1, 1926"
nm0188465,"august 12, 1926"
nm0376633,"november 18, 1926"
nm0715808,"july 1, 1925"
nm0571901,"october 23, 1892"
nm0483659,"june 17, 1882"
nm1105729,"december 12, 1915"
nm0751426,"june 4, 1907"
nm0736939,"march 25, 1916"
nm0371902,"january 8, 1922"
nm0053089,"june 6, 1873"
nm0065961,"january 25, 1880"
nm0149923,"october 6, 1905"
nm0209776,"march 18, 1883"
nm0238871,"february 19, 1881"
nm0448477,"november 16, 1886"
nm0625436,"january 28, 1914"
nm1063053,"december 25, 1900"
nm0220388,"july 12, 1909"
nm0294145,"march 13, 1920"
nm0931519,"may 23, 1917"
nm0954464,"march 6, 1893"
nm0207591,"august 15, 1891"
nm0878927,"august 9, 1903"
nm0069595,"january 31, 1888"
nm0733460,"march 28, 1902"
nm0042424,"july 20, 1892"
nm0087536,"march 11, 1898"
nm0841569,"october 24, 1929"
nm0562805,"april 28, 1865"
nm0269274,"july 25, 1912"
nm0601196,"february 9, 1870"
nm0272432,"december 25, 1906"
nm0070807,"january 8, 1920"
nm0581323,"june 4, 1917"
nm0287162,"june 14, 1891"
nm0295862,"november 4, 1889"
nm0302664,"august 23, 1903"
nm0915519,"february 12, 1897"
nm0271951,"july 24, 1886"
nm0326378,"april 28, 1884"
nm0791857,"june 19, 1896"
nm0384993,"february 16, 1922"
nm0026474,"october 27, 1882"
nm0379601,"june 3, 1909"
nm0215000,"november 23, 1915"
nm0866811,"september 9, 1907"
nm0286622,"may 17, 1929"
nm0417641,"february 11, 1928"
nm0662986,"april 4, 1922"
nm0933565,"february 9, 1930"
nm0548402,"february 22, 1894"
nm0562492,"april 24, 1901"
nm0375698,"february 16, 1901"
nm0696331,"may 8, 1935"
nm0601930,"january 7, 1929"
nm1306087,"june 4, 1940"
nm0743841,"january 7, 1913"
nm0307237,"march 3, 1917"
nm0269619,"january 16, 1912"
nm0548627,"december 1, 1910"
nm0231040,"july 27, 1904"
nm0640969,"july 13, 1882"
nm0700343,"march 19, 1914"
nm0907225,"june 18, 1918"
nm0848910,"september 19, 1915"
nm0479017,"june 15, 1917"
nm0614303,"june 3, 1880"
nm0441195,"december 10, 1897"
nm0186191,"july 3, 1889"
nm0017689,"march 27, 1881"
nm0444122,"april 13, 1899"
nm0193354,"may 28, 1880"
nm0452866,"october 9, 1894"
nm0624752,"november 12, 1875"
nm0067391,"february 10, 1907"
nm0094777,"september 20, 1888"
nm0149970,"april 6, 1904"
nm0092911,"november 20, 1905"
nm0596592,"january 18, 1925"
nm0716505,"april 15, 1897"
nm0303839,"july 20, 1894"
nm0812813,"june 1, 1893"
nm0911413,"may 3, 1891"
nm0516093,"november 8, 1914"
nm0852347,"may 20, 1894"
nm0621789,"april 4, 1924"
nm0636413,"january 5, 1879"
nm0603875,"september 26, 1887"
nm0051377,"november 19, 1891"
nm0281766,"august 10, 1923"
nm0786822,"june 22, 1891"
nm0641739,"april 24, 1904"
nm0783866,"april 8, 1909"
nm0335394,"february 15, 1909"
nm0602100,"november 20, 1894"
nm0730833,"october 30, 1920"
nm0247406,"december 30, 1878"
nm0750991,"september 16, 1919"
nm0057118,"february 3, 1917"
nm0096470,"september 6, 1904"
nm0123994,"june 18, 1891"
nm0149908,"october 20, 1921"
nm0151357,"january 23, 1918"
nm0022306,"march 25, 1974"
nm0088127,"september 16, 1981"
nm0001082,"july 8, 1968"
nm0302108,"october 1, 1969"
nm0355024,"september 30, 1970"
nm0005068,"january 5, 1965"
nm0449466,"september 5, 1976"
nm1101910,"december 17, 1969"
nm0000194,"december 3, 1960"
nm0719052,"august 27, 1948"
nm0738433,"february 13, 1961"
nm0876138,"march 16, 1971"
nm0385297,"december 28, 1928"
nm0536890,"august 4, 1908"
nm0055899,"november 12, 1884"
nm0561487,"may 4, 1909"
nm0239532,"october 10, 1918"
nm0564208,"april 2, 1885"
nm0528970,"october 20, 1927"
nm0929925,"december 2, 1894"
nm0365382,"december 31, 1906"
nm0482474,"june 1, 1900"
nm0552518,"august 10, 1927"
nm0716468,"may 28, 1906"
nm0632057,"december 29, 1904"
nm0203927,"august 3, 1915"
nm0706076,"august 15, 1924"
nm0224665,"june 29, 1915"
nm0140790,"december 2, 1925"
nm0919321,"june 2, 1904"
nm0790788,"april 11, 1931"
nm0653642,"july 29, 1876"
nm0641337,"august 15, 1924"
nm3880305,"november 10, 1916"
nm3880261,"november 10, 1916"
nm0565416,"september 27, 1923"
nm0267918,"november 13, 1924"
nm0352735,"october 13, 1915"
nm0285620,"april 4, 1922"
nm0556995,"july 12, 1918"
nm0318101,"march 18, 1916"
nm0256201,"september 13, 1903"
nm0318323,"november 1, 1908"
nm0513008,"july 12, 1904"
nm0599910,"may 21, 1904"
nm0392442,"may 31, 1888"
nm0593192,"november 4, 1918"
nm0948714,"march 23, 1912"
nm0854888,"october 9, 1887"
nm0672136,"december 7, 1895"
nm0001485,"august 2, 1905"
nm0257466,"july 17, 1928"
nm0097202,"august 2, 1880"
nm0288816,"august 29, 1922"
nm0188398,"february 27, 1915"
nm0109638,"april 10, 1918"
nm0121769,"july 6, 1904"
nm0885196,"march 21, 1903"
nm0503154,"july 2, 1914"
nm0577480,"march 20, 1890"
nm0822492,"july 17, 1929"
nm0396633,"may 7, 1889"
nm0531179,1934
nm1005211,"june 17, 1913"
nm0354889,"november 30, 1933"
nm0000028,"october 17, 1918"
nm0686885,"december 2, 1913"
nm0483340,"january 9, 1892"
nm0018705,"january 23, 1920"
nm0587153,"june 12, 1923"
nm0540416,"january 29, 1924"
nm0154200,"may 6, 1918"
nm0517444,"january 31, 1914"
nm0839177,"may 15, 1898"
nm0083299,"may 7, 1883"
nm0549097,"february 2, 1925"
nm0333372,"july 26, 1903"
nm0370730,"september 12, 1926"
nm0938864,"february 6, 1932"
nm0789578,"june 1, 1902"
nm0498188,"july 12, 1891"
nm0414139,"february 12, 1892"
nm0341577,"august 19, 1936"
nm0751974,"april 12, 1893"
nm0230017,"august 8, 1888"
nm0929291,"october 16, 1898"
nm0203439,"may 23, 1875"
nm0308151,"january 15, 1894"
nm0603749,"december 14, 1909"
nm0879000,"february 6, 1917"
nm0409869,"january 30, 1914"
nm0358426,"january 2, 1915"
nm0912861,"february 24, 1913"
nm0606863,"january 20, 1893"
nm0078491,"september 26, 1894"
nm0124820,"september 27, 1911"
nm0727026,"january 15, 1917"
nm0586817,"january 5, 1892"
nm0478848,"october 11, 1923"
nm0526484,"march 15, 1922"
nm0548913,"november 6, 1918"
nm0204824,"august 26, 1909"
nm0791021,"february 1, 1908"
nm0829648,"january 14, 1913"
nm0038662,"december 12, 1910"
nm0248010,"march 11, 1915"
nm0283314,"december 1, 1907"
nm0080741,"july 13, 1936"
nm0751245,"january 3, 1921"
nm0000967,"april 3, 1941"
nm0000708,"february 24, 1966"
nm0000745,"december 1, 1960"
nm0835722,"june 16, 1968"
nm0000707,"november 20, 1959"
nm0636243,"august 9, 1943"
nm0640660,"november 27, 1974"
nm0001421,"february 18, 1925"
nm0000800,"october 4, 1949"
nm1549546,august 18
nm1005233,"january 27, 1955"
nm2662088,june 10
nm0893584,"february 16, 1921"
nm0420765,"april 9, 1900"
nm0319582,"july 26, 1919"
nm0595122,"january 22, 1896"
nm0921226,"april 8, 1875"
nm0000001,"may 10, 1899"
nm0119319,"november 9, 1894"
nm0899521,"november 18, 1889"
nm0191950,"june 9, 1910"
nm0779507,"september 29, 1922"
nm0172237,"april 19, 1927"
nm0217001,"april 22, 1925"
nm0108511,"october 29, 1891"
nm0578393,"january 2, 1904"
nm0068376,"november 16, 1919"
nm0028207,"january 6, 1903"
nm0632359,"february 24, 1885"
nm0251481,"march 9, 1886"
nm1860054,"august 8, 1889"
nm0672868,"december 26, 1887"
nm0906539,"august 23, 1883"
nm0001379,"august 5, 1906"
nm0717814,"february 25, 1904"
nm0137999,"april 29, 1912"
nm0700424,"june 26, 1898"
nm0750449,"november 14, 1889"
nm0707784,"september 23, 1933"
nm0734849,"june 1, 1930"
nm0832428,"august 8, 1913"
nm0447913,"february 17, 1914"
nm0501144,"november 15, 1906"
nm0709478,"september 9, 1914"
nm0000115,"january 7, 1964"
nm0004757,"june 23, 1972"
nm3453476,"june 3, 1994"
nm6236879,"september 12, 2006"
nm0000448,"may 5, 1940"
nm0501489,august 14
nm0718647,"may 25, 1968"
nm1560493,"february 9, 1985"
nm3958148,"september 24, 1964"
nm1185906,"june 11, 1960"
nm1634601,"january 31, 1960"
nm0000093,"december 18, 1963"
